,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.0005,1.0001,0.9979,1.0011,0.0129,1.0009,0.9997,0.9857,0.9872,1.0007,0.9818,1.0004,1.0005,1.0006,1.0006,0.9977,1.0006,1.0016,0.9977,0.998,0.9982,0.9956,0.9999,1.0004,0.9951,0.0604,0.9911,0.9848
1,0.992,0.0003,0.9994,0.9999,1.0011,0.9631,0.983,0.9989,1.005,0.9997,1.0016,0.9992,0.9993,0.9994,0.9998,0.9992,0.9642,0.984,0.9992,0.9996,0.9997,0.9855,0.9993,0.9992,0.9661,0.9998,0.0359,0.9978
2,0.9907,1.0002,0.001,0.9978,0.9946,0.9982,0.999,0.9966,0.9945,0.9981,0.9981,0.9941,0.995,0.995,0.9984,0.0217,1.0009,1.0004,0.0218,0.0236,0.0663,0.9998,0.9977,0.9945,0.999,0.9953,0.9988,0.9912
3,0.9953,0.9994,0.9988,0.0008,0.9978,0.9988,0.998,0.9977,1.0035,0.9995,0.9978,0.0084,0.0084,0.0084,0.9998,0.9973,0.999,1.0001,0.9975,0.9994,0.9995,1.0,0.9989,0.0233,0.9994,0.9969,0.9992,0.9981
4,0.0047,1.0009,0.9977,1.0008,0.0005,0.9991,0.9986,0.986,0.9879,1.0003,0.9837,1.0001,1.0002,1.0004,1.0005,0.9975,0.9998,1.0004,0.9974,0.9978,0.9982,0.9974,0.9997,1.0005,0.9982,0.0527,0.9896,0.9841
5,0.996,0.9641,0.9994,0.9999,1.0003,0.0003,0.9831,0.999,1.0007,0.9997,1.0002,0.9992,0.9993,0.9995,0.9999,0.9993,0.0179,0.9818,0.9993,0.9994,0.9997,0.9857,0.9994,0.9993,0.0373,1.0015,0.9659,0.998
6,0.9935,0.9846,0.9996,0.9999,1.0005,0.983,0.0003,0.9992,1.0001,1.0002,0.9992,0.9993,0.9994,0.9996,1.0,0.9995,0.9843,0.0166,0.9995,0.9997,1.0,0.0362,0.9994,0.9995,0.9831,1.0024,0.9828,1.0015
7,0.9752,1.0069,0.9951,1.0002,0.9758,1.0035,1.0006,0.0005,0.0205,0.9992,0.0205,0.9991,0.9995,0.9993,0.9998,0.9944,1.0042,1.0056,0.9945,0.995,0.9952,0.9921,0.998,0.9992,0.9848,0.984,1.0006,0.1492
8,0.9729,1.0034,0.995,1.0004,0.9781,0.9991,1.0002,0.0231,0.0005,0.9993,0.0204,0.9994,0.9997,0.9994,0.9998,0.9946,1.0129,0.9999,0.9942,0.995,0.9954,0.9892,0.998,0.9992,0.9905,0.9824,1.001,0.1513
9,0.9928,1.0011,0.9983,0.9998,0.9998,0.9995,0.998,0.9992,1.0013,0.0004,1.0011,0.9988,0.9991,0.9992,0.021,0.9979,0.9998,1.0013,0.998,0.9983,0.9986,0.9998,0.0995,0.9991,0.9987,1.0009,0.9987,0.9957
10,0.9717,1.0051,0.9955,1.0005,0.9803,1.0001,1.0091,0.0234,0.0208,0.9994,0.0005,0.9994,1.0002,0.9996,0.9999,0.9946,1.0025,1.01,0.9949,0.995,0.9957,0.99,0.9982,0.9995,0.9959,0.9843,0.9996,0.1516
11,0.9933,0.9998,1.0008,0.0107,0.9997,0.9998,0.9976,0.999,1.0031,1.001,0.9973,0.0008,0.0088,0.01,1.0002,0.9979,0.999,1.0026,0.9998,1.0012,1.0017,1.0002,1.0,0.0255,0.9995,0.9978,0.9968,0.999
12,0.9928,1.0006,1.0006,0.0103,0.9985,0.9997,0.9976,1.0054,1.0071,1.001,0.9963,0.0084,0.0008,0.0096,1.0001,0.9986,0.9999,1.0023,0.9986,1.0005,0.9999,0.9998,0.9998,0.0251,0.9994,0.9955,0.9992,0.9954
13,0.9943,0.9998,0.9992,0.0091,0.9981,0.9975,0.9978,0.9948,1.0025,0.9997,0.9988,0.0084,0.0084,0.0008,0.9998,0.9971,0.9993,1.0,0.9974,0.9995,1.0001,1.0002,0.999,0.0239,0.9995,0.9983,0.9993,0.9965
14,0.995,1.0007,0.9985,0.9999,1.0016,0.9995,0.9976,0.9951,1.0008,0.0198,0.9973,0.9989,0.9992,0.9992,0.0004,0.9982,0.9989,1.0004,0.9981,0.9983,0.9986,1.0001,0.0984,0.999,0.9987,1.0006,0.9987,0.9971
15,0.9913,1.0012,0.0238,0.9983,0.995,0.9983,0.9992,1.0014,0.9948,0.9988,0.9987,0.9941,0.9954,0.9958,0.9994,0.001,0.9997,1.0024,0.0219,0.0257,0.0683,0.9998,0.9978,0.9952,0.9992,0.9956,0.999,0.9936
16,0.9939,0.9642,0.9994,0.9997,1.0015,0.0166,0.9809,0.9978,1.0037,0.9997,0.9991,0.9991,0.9992,0.9994,0.9999,0.9993,0.0003,0.9852,0.9993,0.9994,0.9997,0.9855,0.9993,0.9992,0.036,1.0001,0.9657,0.9982
17,0.9902,0.9842,0.9995,0.9998,0.9999,0.9835,0.0177,1.0003,0.9975,0.9999,0.999,0.9992,0.9994,0.9995,0.9999,0.9992,0.9844,0.0003,0.9992,0.9995,0.9997,0.0372,0.9995,0.9994,0.9836,1.002,0.9833,0.9978
18,0.9929,0.9995,0.0236,0.998,0.9949,0.9991,0.9979,0.9941,0.9926,0.9984,0.9962,0.9943,0.9949,0.9954,0.9985,0.0217,0.9996,1.0024,0.001,0.0255,0.0682,0.9997,0.9979,0.9947,0.999,0.9948,0.9989,0.9939
19,0.9898,1.0004,0.0217,0.9972,0.9927,0.9983,0.9985,0.9934,0.9931,0.9981,0.9934,0.9936,0.9944,0.9949,0.9983,0.0218,0.9996,1.002,0.0217,0.001,0.0647,0.9997,0.9975,0.9941,0.9991,0.9968,0.9988,0.9916
20,0.9885,1.0006,0.0221,0.9994,0.9936,0.9991,0.9992,0.9954,0.9935,0.9985,0.9917,0.9948,0.9959,0.996,0.9986,0.0222,0.9998,1.0033,0.0222,0.0223,0.001,0.9997,0.9978,0.9954,0.999,0.9981,0.9988,0.993
21,1.0011,0.986,1.0004,1.0003,1.0014,0.9822,0.0165,0.9995,0.9998,1.0,0.9949,0.9998,0.9999,1.0,1.0001,0.9999,0.9855,0.0165,0.9999,1.0002,1.0001,0.0003,0.9992,1.0017,0.9858,0.9996,0.9855,0.9972
22,0.9945,1.0019,0.9983,1.0,0.9997,0.9995,0.9984,0.9975,1.0,0.02,0.9983,0.9989,0.9993,0.9993,0.02,0.998,0.9998,1.0025,0.9982,0.9984,0.9989,0.9997,0.0005,0.9991,0.9989,1.0016,0.9988,0.9982
